usuarioId,nombre,edad,sexo,email,fechaNacimiento
U01,Juan Pérez,30,M,juanperez@example.com,1994-02-15
U02,María López,25,F,marialopez@example.com,1998-06-22
U03,Carlos García,35,M,carlosg@example.com,1989-11-05
U04,Ana Martínez,28,F,anam@example.com,1996-04-10
U05,Luis Rodriguez,40,M,luisr@example.com,1984-07-30
U06,Sofia Gomez,32,F,sofag@example.com,1992-12-05
U07,Pedro Sanchez,27,M,pedros@example.com,1998-09-15
U08,Lucia Torres,29,F,luciatorres@example.com,1994-11-20
U09,David Ramirez,34,M,davidr@example.com,1990-05-25
U10,Elena Diaz,31,F,elenad@example.com,1993-08-17
